emoji	nom	catégorie	mots-clés	description	exemple	relation emoji
☺️ ♥️ ♻️ ❤️ 👀 👌 👍 💕 😁 😂 😅 😉 😊 😍 😒 😔 😘 😩 😭 🙏	string	string	string	string	string	string
class	meta	meta	meta	meta	meta	meta
😂	visage riant aux larmes	Smileys & Emotion - visage-souriant	larmes | sourire | visage riant aux larmes	"Avec un grand sourire, levant les sourcils et des yeux souriants, il rit trop et verse des larmes. Il est aussi connu comme l'emoji pleurer de rire, le visage LOL ou le visage CWL. C'est l'un des moyens les plus populaires d'exprimer le plaisir, la joie intense et la gêne. Sur Internet, nous le utilisons comme""mdr"". Ce genre de sourire ressemble à beaucoup de visages souriants, mais avec l’ajout de froncements de sourcils et de larmes, il a plus d’un sens. Il ressemble à 🤣, mais il y a des significations différentes. La signification du symbole emoji 😂 est visage riant aux larmes, il est lié à larmes, sourire, on peut le trouver dans la catégorie emoji: "" 😂 Smileys & Emotion"" - "" 😄 visage-souriant""."	J'essaie vraiment de ne pas rire. Ils pensent qu’ils sont si coriaces, mais ce ne sont que de jolis petits munchkins. 😂😂	😂🤣😹😢😀🤩❤😭💀☠
❤️	cœur rouge	Smileys & Emotion - émotion	cœur | cœur rouge	"Un cœur rouge peut être utilisé pour exprimer des émotions telles que jouir, aimer, parler d'amour, etc. Le ❤️ actuel est une variante d'Emoji (style emoji, affichant des symboles colorés sur la plupart des nouvelles plates-formes), et il a deux Emoji correspondants: ❤ (Emoji de base sans symboles de variante) et ❤︎ (style de texte, affichant des symboles en noir et blanc sur certaines anciennes plates-formes). La signification du symbole emoji ❤️ est cœur rouge, il est lié à cœur, cœur rouge, on peut le trouver dans la catégorie emoji: "" 😂 Smileys & Emotion"" - "" 💋 émotion""."	Je peux être avec toi, c'est mon plus grand bonheur. ❤️	🔁☺️😞🐖🤍🔄🦍💓🏘😱
😭	visage qui pleure à chaudes larmes	Smileys & Emotion - visage-inquiète	larme | pleurs | triste | visage | visage qui pleure à chaudes larmes	"Un visage triste, des larmes coulant sur les joues, très triste, très blessé, une expression très douloureuse. Il peut exprimer des blessures, de la douleur et du malaise; il peut aussi exprimer le sens opposé, comme pleurer de joie. Emojis connexes: 😢😫😩😣 La signification du symbole emoji 😭 est visage qui pleure à chaudes larmes, il est lié à larme, pleurs, triste, visage, visage qui pleure à chaudes larmes, on peut le trouver dans la catégorie emoji: "" 😂 Smileys & Emotion"" - "" 😞 visage-inquiète ""."	Je t'en prie de donner moi la confiance et attendre-moi - Kang Daniel, il garde ses paroles. 😭	🤣😂💀😹🤛🏾🤾🏻‍♀️🤏👨🏻‍🦯🖕🏾🙅🏿‍♂️
😍	visage souriant avec yeux en forme de cœur	Smileys & Emotion - affection du visage	amour | cœur | œil | visage | visage souriant avec yeux en forme de cœur	"Un visage rayonnant de bonheur avec les yeux en forme de coeurs, montre l'amour, l'adoration ou la gratitude. Mais contient également une forte atmosphère romantique. C'est le plus populaire des emoji au thème de l'amour. La signification du symbole emoji 😍 est visage souriant avec yeux en forme de cœur, il est lié à amour, cœur, œil, visage, visage souriant avec yeux en forme de cœur, on peut le trouver dans la catégorie emoji: "" 😂 Smileys & Emotion"" - "" 😍 affection du visage""."	Une telle soirée de filles incroyable !! Je ne pourrais pas demander mieux !!! 😍😍	🌎😎🐶🌴🦓🌊🦵🏾✌🏼🌍👩🏻‍🍳
♻️	symbole Recyclage	Symboles - autre-symbole	recyclage | symbole Recyclage	"Un symbole de recyclage. Les trois flèches vertes circulent dans le sens des aiguilles d'une montre dans une forme triangulaire. Habituellement utilisé pour signifier le recyclage, l'économie des ressources et la protection de l'environnement. Il apparaît souvent sur les produits recyclables ou les emballages de produits recyclables, signifie que le matériau est recyclable. Emojis connexes:📄 papier, 🚮 poubelle et🚯 interdire la litière. Le ♻️ actuel est une variante d'Emoji (style emoji, affichant des symboles colorés sur la plupart des nouvelles plates-formes), et il a deux Emoji correspondants: ♻ (Emoji de base sans symboles de variante) et ♻︎ (style de texte, affichant des symboles en noir et blanc sur certaines anciennes plates-formes). La signification du symbole emoji ♻️ est symbole Recyclage, il est lié à recyclage, on peut le trouver dans la catégorie emoji: "" 🛑 Symboles"" - "" ☑️ autre-symbole""."	📢 Promouvoir progressivement 🚮 le tri des ordures à travers le pays, ce qui est propice à ♻️ les déchets recyclables, réduisant ainsi le gaspillage de ressources et protégeant l'environnement!	🥩🗓🔱✍🏻🎗🧾〽️🤙🏻♏📉
♥️	cœur cartes	Activités - jeu	cœur | cœur cartes | couleur | jeu	"Un cœur cartes et sa couleur varie selon la plate-forme. Le cœur carte est l'une des quatre combinaisons de cartes à jouer, qui symbolise l'amour et diverses pensées émotionnelles, et représente également le printemps 🌸 . Le Saint Graal représente l'émotion dans le Tarot, de sorte que le cœur correspondant est conçu comme une forme de cœur, suggérant l'amour 💓 . Emoji similaire:❤️ . Les cartes à jouer sont liées:♠♥️♦🃏 . Le ♥️ actuel est une variante d'Emoji (style emoji, affichant des symboles colorés sur la plupart des nouvelles plates-formes), et il a deux Emoji correspondants: ♥ (Emoji de base sans symboles de variante) et ♥︎ (style de texte, affichant des symboles en noir et blanc sur certaines anciennes plates-formes). La signification du symbole emoji ♥️ est cœur cartes, il est lié à cœur, cœur cartes, couleur, jeu, on peut le trouver dans la catégorie emoji: "" ⚽ Activités"" - "" 🎯 jeu""."	"Habituellement, nos téléphones mobiles sont obligés de recevoir de nombreux messages de spam, tels que ""Monaco 🎲💰♠♥️♣♦......"", nous devons être vigilants et rester à l'écart du spam."	🧏🏽‍♀️🙌🏾🙇🏾‍♂️👨🏾‍🍳🐶🤷🏻‍♂️💐🎉🙏🏾🐠
😊	visage souriant avec yeux rieurs	Smileys & Emotion - visage-souriant	œil | rougir | sourire | visage | visage souriant avec yeux rieurs	"Un sourire timide et embarrassé avec les joues rouges. Il exprime du bonheur, de la gaîté, de la sérénité ou de la reconnaissance, mais aussi un peu romantique. Une variante texte de ce smiley est le “^^“. Il est similaire avec ☺️ et a différentes significations. La signification du symbole emoji 😊 est visage souriant avec yeux rieurs, il est lié à œil, rougir, sourire, visage, on peut le trouver dans la catégorie emoji: "" 😂 Smileys & Emotion"" - "" 😄 visage-souriant""."	Faire ce que je peux où je suis avec ce que j'ai 😊😊	☺️💋😘😚🤗👋🏻👋🏼🙏🏾🥕👨🏾
💕	deux cœurs	Smileys & Emotion - émotion	amour | cœurs | deux cœurs	"Ce sont deux cœurs qui sont décalés de haut en bas et qui s'affichent sous forme de coeurs rouges sur la plupart des plates-formes et de coeurs roses sur les plates-formes Apple, Samsung, Whatsapp et OpenMoji. Cela signifie généralement l’amour et la chaleur, et peut également signifier le romantisme, la rose, la bonne humeur. Les filles aiment particulièrement utiliser cet emoji. Emojis similaires: 💘 💝 💗 💓 💞 💖 La signification du symbole emoji 💕 est deux cœurs, il est lié à amour, cœurs, deux cœurs, on peut le trouver dans la catégorie emoji: "" 😂 Smileys & Emotion"" - "" 💋 émotion""."	Bon mariage, mes copains. 💕💕	🧚🏼‍♂️💞👑😚🤗🐾☄🤍〰️💓
