emoji;UTF code;Beschreibung;Schlüsselwörter
😂;1F602;"Mit einem breiten Lächeln, hochgezogenen Augenbrauen und lächelnden Augen lachte er zu viel und vergoss Tränen. Auch bekannt als Gesicht mit Freudentränen, LOL-Gesicht oder CWL-Gesicht. Das ist eine der beliebtesten Emoji, um Spaß, intensive Freude und Verlegenheit auszudrücken. Ähnlich wie 🤣 ⚠️ : Das Emoji wurde von 2014 bis 2018 als eines der zehn beliebtesten Emojis eingestuft und Emoji des Jahres gekürt. Die Bedeutung des Emoji-Symbols 😂 ist Gesicht mit Freudentränen, es ist verwandt mit Gesicht, Gesicht mit Freudentränen, lachen, Tränen, finden Sie in der Emoji-Kategorie: "" 😂 Smileys & Emotionen"" - "" 😄 lächelndes Gesicht"".";Gesicht | Gesicht mit Freudentränen | lachen | Tränen | Trana | Gsecht | lacha | lächelnd | Lächelt| lächelt | lachelt | witzig | komischer | komischi | Komische | komischen | komisch
❤️;2764;"Ein rotes Herz kann verwendet werden, um Emotionen wie Genießen, Liebe, Romantik usw. auszudrücken. Der aktuelle ❤️ ist eine Variante von Emoji (Emoji-Stil, der auf den meisten neuen Plattformen farbenfrohe Symbole anzeigt) und verfügt über zwei entsprechende Emoji: ❤ (Basis-Emoji ohne Variantensymbole) und ❤︎ (Textstil, Anzeige von schwarzen und weißen Symbolen) einige alte Plattformen). Die Bedeutung des Emoji-Symbols ❤️ ist rotes Herz, es ist verwandt mit Herz, finden Sie in der Emoji-Kategorie: "" 😂 Smileys & Emotionen"" - "" 💋 Emotion"".";Herz | rotes Herz | rot | Harz | root | roote | rooti | romantisch | Romantik | herzlichen | herzlichs | Herzlich | Herzliche | herzlich | herzliche | harzlig | harzlich | herzlicher | beleebt | belieabt | bliabt | beliebt | lieb | liebe
😭;1F62D;"Ein trauriges Gesicht, Tränen flossen über die Wangen, sehr traurig, sehr verletzt, sehr schmerzhafter Ausdruck. Es kann Verletzungen, Schmerzen und Unbehagen ausdrücken; es kann auch die entgegengesetzte Bedeutung ausdrücken, wie z. B. vor Freude weinen. Verwandte Emojis: 😢 😫 😩 😣 Die Bedeutung des Emoji-Symbols 😭 ist heulendes Gesicht, es ist verwandt mit Gesicht, Tränen, traurig, finden Sie in der Emoji-Kategorie: "" 😂 Smileys & Emotionen"" - "" 😞 Gesicht besorgt"".";Gesicht | heulendes Gesicht | Tränen | traurig | Gsecht | trürig | hila | Thrane | Thräne | Tränen | Traene | Dräne | Träne | Trürigkeit | Traurigkeit | drürig | traurig | traurige | Traurig | trürig | hile | hiele
😍;1F60D;"Dases glückliche Gesicht mit Herzen anstelle von Augen zeigt Liebe, Anbetung oder Dankbarkeit. Enthält aber auch eine starke romantische Atmosphäre. Es ist das beliebteste Emoji des Liebesthema. Verwandte Emojis: 😘 🥰 🤗 Die Bedeutung des Emoji-Symbols 😍 ist lächelndes Gesicht mit herzförmigen Augen, es ist verwandt mit Gesicht, lächelndes Gesicht mit herzförmigen Augen, verliebt, finden Sie in der Emoji-Kategorie: "" 😂 Smileys & Emotionen"" - "" 😍 Gesichtszuneigung"".";Gesicht | lächelndes Gesicht mit herzförmigen Augen | verliebt | Liawa | Lieb | Harz | Àuig | romantisch | Romantik | Härze | Harz | Herzig | Herzen | herzig | Harze | Härzer | Herzer | Härz | herzige | herzigi | Herze | Herz | Harza
♻️;267B;"Die drei grünen Pfeile zirkulieren im Uhrzeigersinn dreieckig, was ein internationales Recycling-Symbol ist. In der Regel bedeutet es Recycling, Ressourcenschonung und Umweltschutz. Es erscheint oft auf recycelbaren Waren oder Verpackungen von recycelbaren Waren, dh das Material ist recycelbar. Verwandte Emojis: 📄 🚮 🚯 Der aktuelle ♻️ ist eine Variante von Emoji (Emoji-Stil, der auf den meisten neuen Plattformen farbenfrohe Symbole anzeigt) und verfügt über zwei entsprechende Emoji: ♻ (Basis-Emoji ohne Variantensymbole) und ♻︎ (Textstil, Anzeige von schwarzen und weißen Symbolen) einige alte Plattformen). Die Bedeutung des Emoji-Symbols ♻️ ist Recycling-Symbol, es ist verwandt mit Recycling, finden Sie in der Emoji-Kategorie: "" 🛑 Symbole"" - "" ☑️ anderes Symbol"".";Recycling | Recycling-Symbol | Umschüalung | wederverwandung | Recyclage | Sembohl | Nàtür | Nàdür | Àbfàll | Verlasung | Sortiarung | verlaasa | sortiara | Àtmosphärzüaschtànd | Wetterung
♥️;2665;"Das ist ein rotes Herz und seine Farbe variiert je nach Plattform. Das rote Herz ist eine der vier Farben von Spielkarten, die Liebe und verschiedene emotionale und emotionale Gedanken symbolisieren und auch den Frühling darstellen 🌸 . Der Heilige Gral repräsentiert Emotionen im Tarot, daher ist das entsprechende Herz als Herzform gestaltet, was auf Liebe hindeutet 💓 . Ähnliches Emoji: ❤️ .Verwandte Emojis:♠♠♥️♦🃏 Der aktuelle ♥️ ist eine Variante von Emoji (Emoji-Stil, der auf den meisten neuen Plattformen farbenfrohe Symbole anzeigt) und verfügt über zwei entsprechende Emoji: ♥ (Basis-Emoji ohne Variantensymbole) und ♥︎ (Textstil, Anzeige von schwarzen und weißen Symbolen) einige alte Plattformen). Die Bedeutung des Emoji-Symbols ♥️ ist Herz, es ist verwandt mit Kartenspiel, finden Sie in der Emoji-Kategorie: "" ⚽ Aktivitäten"" - "" 🎯 Spiel"".";Herz | Kartenspiel | Harz | Fàrb | Schpeel | root | roote | rooti | Gewinne | gewonne | gewinn | gewinne | Gewinn | gewinnen | gewunne
😊;1F60A;"Es ähnelt einem klassischen Smiley mit einer roten Wange, hat aber lachenden Augen. Es ist eher ein Hinweis darauf, dass Sie wirklich glücklich oder positiv sind, aber auch ein wenig romantisch. Ähnlich wie☺️. Die Bedeutung des Emoji-Symbols 😊 ist lächelndes Gesicht mit lachenden Augen, es ist verwandt mit erröten, Freude, Gesicht, lächelndes Gesicht mit lachenden Augen, rote Wangen, finden Sie in der Emoji-Kategorie: "" 😂 Smileys & Emotionen"" - "" 😄 lächelndes Gesicht"".";erröten | Freude | Gesicht | lächelndes Gesicht mit lachenden Augen | rote Wangen | Gsecht | rota Bàcka | Lachla | lächelnd | Lächelt| lächelt | lachelt | frindli | freundlich | friendlich | friendli | Sympathischer | sympathische | Sympathische | sympathischen | sympathischi | friendlicher | frindli | friendlich | freundlich | frindlichs | friendli | freundlichen | freundliche | friendliche | frindlich | Freundlich | freundlicher
💕;1F495;"Das sind zwei Herzen, die nach oben und unten versetzt sind und auf den meisten Plattformen als rote Herzen und auf Apple-, Samsung-, WhatsApp- und OpenMoji-Plattformen als rosa Herzen angezeigt werden. Es bedeutet im Allgemeinen Liebe und Wärme und kann auch Romantik, Rosa, Liebe und gute Laune bedeuten. Mädchen benutzen Das Emoji besonders gerne. Verwandte Emojis: 💘 💝 💗 💓 💞 💖 Die Bedeutung des Emoji-Symbols 💕 ist zwei Herzen, es ist verwandt mit Herz, Liebe, finden Sie in der Emoji-Kategorie: "" 😂 Smileys & Emotionen"" - "" 💋 Emotion"".";Herz | Liebe | zwei Herzen | Liawa | Lieb  | Harz | zwei Harzle | zärtlich | zärtli | Zärtlich | zärtlih | zärtliche | liebenswürdig | herrlischen | herrliche | herrlichen | herrlig | Herrlich | herrlicha | herrlich | herrlichs | lieb | liebe
😔;1F614;"Ein trauriger Ausdruck mit geschlossenen Augen und niedrigem Kopf, der alle Arten von traurigen Emotionen verbreiten kann, einschließlich Enttäuschung, Verletzung, Entschuldigung Einsamkeit oder Frustration. Ähnlich wie😞 . Die Bedeutung des Emoji-Symbols 😔 ist nachdenkliches Gesicht, es ist verwandt mit Gesicht, nachdenklich, finden Sie in der Emoji-Kategorie: "" 😂 Smileys & Emotionen"" - "" 😴 schläfrig"".";Gesicht | nachdenklich | nachdenkliches Gesicht | Gsecht | nohdanklig | Äntöischung | noochgedenkt | nochgedenkt | nochgedankt | schada | schaad | Schada | Schade | Leid | Leide | Leiden
😘;1F618;"Ein Gesicht mit einem Augenzwinkern, Kuss mit einem schwebenden roten Herzen zuwerfend. Es drückt im Allgemeinen gute Nacht oder Auf Wiedersehen und kann auch die Bedeutung von Flirten haben. Ähnlich wie 😗😙 Die Bedeutung des Emoji-Symbols 😘 ist Kuss zuwerfendes Gesicht, es ist verwandt mit Gesicht, Kuss, finden Sie in der Emoji-Kategorie: "" 😂 Smileys & Emotionen"" - "" 😍 Gesichtszuneigung"".";Gesicht | Kuss | Kuss zuwerfendes Gesicht | Harz | Schmetzla | Schmetzel | root | roote | rooti | herzlichen | herzlichs | Herzlich | Herzliche | herzlich | herzliche | harzlig | harzlich | herzlicher
