emoji	nom	catégorie	mots-clés	description	exemple	relation emoji
☺️ ♥️ ♻️ ❤️ 👀 👌 👍 💕 😁 😂 😅 😉 😊 😍 😒 😔 😘 😩 😭 🙏	string	string	string	string	string	string
class	meta	meta	meta	meta	meta	meta
😂	visage riant aux larmes - Gesicht mit Freudentränen	Smileys & Emotion - visage-souriant, Smileys & Emotionen - lächelndes Gesicht	larmes | sourire | visage riant aux larmes | Gesicht | Gesicht mit Freudentränen | lachen | Tränen	Avec un grand sourire, levant les sourcils et des yeux souriants, il rit trop et verse des larmes. Il est aussi connu comme l'emoji pleurer de rire, le visage LOL ou le visage CWL. C'est l'un des moyens les plus populaires d'exprimer le plaisir, la joie intense et la gêne. Sur Internet, nous le utilisons commemdr. Ce genre de sourire ressemble à beaucoup de visages souriants, mais avec l’ajout de froncements de sourcils et de larmes, il a plus d’un sens. Il ressemble à 🤣, mais il y a des significations différentes. La signification du symbole emoji 😂 est visage riant aux larmes, il est lié à larmes, sourire, on peut le trouver dans la catégorie emoji:  😂 Smileys & Emotion -  😄 visage-souriant. Mit einem breiten Lächeln, hochgezogenen Augenbrauen und lächelnden Augen lachte er zu viel und vergoss Tränen. Auch bekannt als Gesicht mit Freudentränen, LOL-Gesicht oder CWL-Gesicht. Das ist eine der beliebtesten Emoji, um Spaß, intensive Freude und Verlegenheit auszudrücken. Ähnlich wie 🤣 ⚠️ : Das Emoji wurde von 2014 bis 2018 als eines der zehn beliebtesten Emojis eingestuft und Emoji des Jahres gekürt. Die Bedeutung des Emoji-Symbols 😂 ist Gesicht mit Freudentränen, es ist verwandt mit Gesicht, Gesicht mit Freudentränen, lachen, Tränen, finden Sie in der Emoji-Kategorie:  😂 Smileys & Emotionen -  😄 lächelndes Gesicht.	"J'essaie vraiment de ne pas rire. Ils pensent qu’ils sont si coriaces, mais ce ne sont que de jolis petits munchkins. 😂😂
Die Anzeigen unserer Website sind wirklich interessant.😂 😂 😂"	😂🤣😹😢😀🤩❤😭💀☠😂🤣⚠️😹😀🤩❤😍😅😆
❤️	cœur rouge - rotes Herz	Smileys & Emotion - émotion, Smileys & Emotionen - Emotion	cœur | cœur rouge | Herz | rotes Herz	Un cœur rouge peut être utilisé pour exprimer des émotions telles que jouir, aimer, parler d'amour, etc. Le ❤️ actuel est une variante d'Emoji (style emoji, affichant des symboles colorés sur la plupart des nouvelles plates-formes), et il a deux Emoji correspondants: ❤ (Emoji de base sans symboles de variante) et ❤︎ (style de texte, affichant des symboles en noir et blanc sur certaines anciennes plates-formes). La signification du symbole emoji ❤️ est cœur rouge, il est lié à cœur, cœur rouge, on peut le trouver dans la catégorie emoji:  😂 Smileys & Emotion -  💋 émotion. Ein rotes Herz kann verwendet werden, um Emotionen wie Genießen, Liebe, Romantik usw. auszudrücken. Der aktuelle ❤️ ist eine Variante von Emoji (Emoji-Stil, der auf den meisten neuen Plattformen farbenfrohe Symbole anzeigt) und verfügt über zwei entsprechende Emoji: ❤ (Basis-Emoji ohne Variantensymbole) und ❤︎ (Textstil, Anzeige von schwarzen und weißen Symbolen) einige alte Plattformen). Die Bedeutung des Emoji-Symbols ❤️ ist rotes Herz, es ist verwandt mit Herz, finden Sie in der Emoji-Kategorie:  😂 Smileys & Emotionen -  💋 Emotion.	"Je peux être avec toi, c'est mon plus grand bonheur. ❤️
Mit dir zusammen zu sein ist mein größtes Glück. “ ❤️"	🔁☺️😞🐖🤍🔄🦍💓🏘😱❤️💓🖤♥💙💔📕💑👨‍❤️‍👨👩‍❤️‍👩
😭	visage qui pleure à chaudes larmes - heulendes Gesicht	Smileys & Emotion - visage-inquiète, Smileys & Emotionen - Gesicht besorgt	larme | pleurs | triste | visage | visage qui pleure à chaudes larmes | Gesicht | heulendes Gesicht | Tränen | traurig	Un visage triste, des larmes coulant sur les joues, très triste, très blessé, une expression très douloureuse. Il peut exprimer des blessures, de la douleur et du malaise; il peut aussi exprimer le sens opposé, comme pleurer de joie. Emojis connexes: 😢😫😩😣 La signification du symbole emoji 😭 est visage qui pleure à chaudes larmes, il est lié à larme, pleurs, triste, visage, visage qui pleure à chaudes larmes, on peut le trouver dans la catégorie emoji:  😂 Smileys & Emotion -  😞 visage-inquiète . Ein trauriges Gesicht, Tränen flossen über die Wangen, sehr traurig, sehr verletzt, sehr schmerzhafter Ausdruck. Es kann Verletzungen, Schmerzen und Unbehagen ausdrücken; es kann auch die entgegengesetzte Bedeutung ausdrücken, wie z. B. vor Freude weinen. Verwandte Emojis: 😢 😫 😩 😣 Die Bedeutung des Emoji-Symbols 😭 ist heulendes Gesicht, es ist verwandt mit Gesicht, Tränen, traurig, finden Sie in der Emoji-Kategorie:  😂 Smileys & Emotionen -  😞 Gesicht besorgt.	"Je t'en prie de donner moi la confiance et attendre-moi - Kang Daniel, il garde ses paroles. 😭
Der FC Bayern ist im Fußball-Himmel! Im Champions-League-Finale von Lissabon gewinnen die Münchner dank eines Tores von Kingsley Coman mit 1:0 (0:0) gegen Paris Saint-Germain. 😭"	🤣😂💀😹🤛🏾🤾🏻‍♀️🤏👨🏻‍🦯🖕🏾🙅🏿‍♂️😭😢😫😩😣😲🖤😿😞😓
😍	visage souriant avec yeux en forme de cœur - lächelndes Gesicht mit herzförmigen Augen	Smileys & Emotion - affection du visage, Smileys & Emotionen - Gesichtszuneigung	amour | cœur | œil | visage | visage souriant avec yeux en forme de cœur | Gesicht | lächelndes Gesicht mit herzförmigen Augen | verliebt	Un visage rayonnant de bonheur avec les yeux en forme de coeurs, montre l'amour, l'adoration ou la gratitude. Mais contient également une forte atmosphère romantique. C'est le plus populaire des emoji au thème de l'amour. La signification du symbole emoji 😍 est visage souriant avec yeux en forme de cœur, il est lié à amour, cœur, œil, visage, visage souriant avec yeux en forme de cœur, on peut le trouver dans la catégorie emoji:  😂 Smileys & Emotion -  😍 affection du visage. Dases glückliche Gesicht mit Herzen anstelle von Augen zeigt Liebe, Anbetung oder Dankbarkeit. Enthält aber auch eine starke romantische Atmosphäre. Es ist das beliebteste Emoji des Liebesthema. Verwandte Emojis: 😘 🥰 🤗 Die Bedeutung des Emoji-Symbols 😍 ist lächelndes Gesicht mit herzförmigen Augen, es ist verwandt mit Gesicht, lächelndes Gesicht mit herzförmigen Augen, verliebt, finden Sie in der Emoji-Kategorie:  😂 Smileys & Emotionen -  😍 Gesichtszuneigung.	"Une telle soirée de filles incroyable !! Je ne pourrais pas demander mieux !!! 😍😍
Was für eine tolle Mädchennacht 😍 😍 ~"	🌎😎🐶🌴🦓🌊🦵🏾✌🏼🌍👩🏻‍🍳😍😘🥰🤗👉💓😋🤩💗💘
♻️	symbole Recyclage - Recycling-Symbol	Symboles - autre-symbole, Symbole - anderes Symbol	recyclage | symbole Recyclage | Recycling | Recycling-Symbol	Un symbole de recyclage. Les trois flèches vertes circulent dans le sens des aiguilles d'une montre dans une forme triangulaire. Habituellement utilisé pour signifier le recyclage, l'économie des ressources et la protection de l'environnement. Il apparaît souvent sur les produits recyclables ou les emballages de produits recyclables, signifie que le matériau est recyclable. Emojis connexes:📄 papier, 🚮 poubelle et🚯 interdire la litière. Le ♻️ actuel est une variante d'Emoji (style emoji, affichant des symboles colorés sur la plupart des nouvelles plates-formes), et il a deux Emoji correspondants: ♻ (Emoji de base sans symboles de variante) et ♻︎ (style de texte, affichant des symboles en noir et blanc sur certaines anciennes plates-formes). La signification du symbole emoji ♻️ est symbole Recyclage, il est lié à recyclage, on peut le trouver dans la catégorie emoji:  🛑 Symboles -  ☑️ autre-symbole. Die drei grünen Pfeile zirkulieren im Uhrzeigersinn dreieckig, was ein internationales Recycling-Symbol ist. In der Regel bedeutet es Recycling, Ressourcenschonung und Umweltschutz. Es erscheint oft auf recycelbaren Waren oder Verpackungen von recycelbaren Waren, dh das Material ist recycelbar. Verwandte Emojis: 📄 🚮 🚯 Der aktuelle ♻️ ist eine Variante von Emoji (Emoji-Stil, der auf den meisten neuen Plattformen farbenfrohe Symbole anzeigt) und verfügt über zwei entsprechende Emoji: ♻ (Basis-Emoji ohne Variantensymbole) und ♻︎ (Textstil, Anzeige von schwarzen und weißen Symbolen) einige alte Plattformen). Die Bedeutung des Emoji-Symbols ♻️ ist Recycling-Symbol, es ist verwandt mit Recycling, finden Sie in der Emoji-Kategorie:  🛑 Symbole -  ☑️ anderes Symbol.	"📢 Promouvoir progressivement 🚮 le tri des ordures à travers le pays, ce qui est propice à ♻️ les déchets recyclables, réduisant ainsi le gaspillage de ressources et protégeant l'environnement!
📢 Fördern Sie schrittweise 🚮 die Müllsortierung im ganzen Land, was ♻️ recycelbarem Müll förderlich ist, wodurch Ressourcenverschwendung reduziert und die Umwelt geschützt wird!"	🥩🗓🔱✍🏻🎗🧾〽️🤙🏻♏📉♻️📄🚮🚯📢🔄🔁🌲💚🛑
♥️	cœur cartes – Herz	Activités - jeu, Aktivitäten - Spiel	cœur | cœur cartes | couleur | jeu | Herz | Kartenspiel	Un cœur cartes et sa couleur varie selon la plate-forme. Le cœur carte est l'une des quatre combinaisons de cartes à jouer, qui symbolise l'amour et diverses pensées émotionnelles, et représente également le printemps 🌸 . Le Saint Graal représente l'émotion dans le Tarot, de sorte que le cœur correspondant est conçu comme une forme de cœur, suggérant l'amour 💓 . Emoji similaire:❤️ . Les cartes à jouer sont liées:♠♥️♦🃏 . Le ♥️ actuel est une variante d'Emoji (style emoji, affichant des symboles colorés sur la plupart des nouvelles plates-formes), et il a deux Emoji correspondants: ♥ (Emoji de base sans symboles de variante) et ♥︎ (style de texte, affichant des symboles en noir et blanc sur certaines anciennes plates-formes). La signification du symbole emoji ♥️ est cœur cartes, il est lié à cœur, cœur cartes, couleur, jeu, on peut le trouver dans la catégorie emoji:  ⚽ Activités -  🎯 jeu. Das ist ein rotes Herz und seine Farbe variiert je nach Plattform. Das rote Herz ist eine der vier Farben von Spielkarten, die Liebe und verschiedene emotionale und emotionale Gedanken symbolisieren und auch den Frühling darstellen 🌸 . Der Heilige Gral repräsentiert Emotionen im Tarot, daher ist das entsprechende Herz als Herzform gestaltet, was auf Liebe hindeutet 💓 . Ähnliches Emoji: ❤️ .Verwandte Emojis:♠♠♥️♦🃏 Der aktuelle ♥️ ist eine Variante von Emoji (Emoji-Stil, der auf den meisten neuen Plattformen farbenfrohe Symbole anzeigt) und verfügt über zwei entsprechende Emoji: ♥ (Basis-Emoji ohne Variantensymbole) und ♥︎ (Textstil, Anzeige von schwarzen und weißen Symbolen) einige alte Plattformen). Die Bedeutung des Emoji-Symbols ♥️ ist Herz, es ist verwandt mit Kartenspiel, finden Sie in der Emoji-Kategorie:  ⚽ Aktivitäten -  🎯 Spiel.	"Habituellement, nos téléphones mobiles sont obligés de recevoir de nombreux messages de spam, tels que ""Monaco 🎲💰♠♥️♣♦......"", nous devons être vigilants et rester à l'écart du spam.
Normalerweise sind unsere Mobiltelefone sind gezwungen, viele Spam - Nachrichten zu erhalten, wie „Macao 🎲 💰 ♠ ️ ♥️ ️ ♣ ️ ♦ ️ ......“ Wir müssen wachsam sein und bleiben weg von Spam. Wenn wir unterwegs einen gutaussehenden Mann sehen, senden wir eine Nachricht an Girlfriends: „Ich habe gerade einen gutaussehenden Mann getroffen ♥️ ️ ♥️ ️ ♥️ ️ !!“"	🧏🏽‍♀️🙌🏾🙇🏾‍♂️👨🏾‍🍳🐶🤷🏻‍♂️💐🎉🙏🏾🐠♥️🌸💓❤️♠♦🃏🎲💰♣
😊	visage souriant avec yeux rieurs - lächelndes Gesicht mit lachenden Augen	Smileys & Emotion - visage-souriant, Smileys & Emotionen - lächelndes Gesicht	œil | rougir | sourire | visage | visage souriant avec yeux rieurs | erröten | Freude | Gesicht | lächelndes Gesicht mit lachenden Augen | rote Wangen	Un sourire timide et embarrassé avec les joues rouges. Il exprime du bonheur, de la gaîté, de la sérénité ou de la reconnaissance, mais aussi un peu romantique. Une variante texte de ce smiley est le “^^“. Il est similaire avec ☺️ et a différentes significations. La signification du symbole emoji 😊 est visage souriant avec yeux rieurs, il est lié à œil, rougir, sourire, visage, on peut le trouver dans la catégorie emoji:  😂 Smileys & Emotion -  😄 visage-souriant. Es ähnelt einem klassischen Smiley mit einer roten Wange, hat aber lachenden Augen. Es ist eher ein Hinweis darauf, dass Sie wirklich glücklich oder positiv sind, aber auch ein wenig romantisch. Ähnlich wie☺️. Die Bedeutung des Emoji-Symbols 😊 ist lächelndes Gesicht mit lachenden Augen, es ist verwandt mit erröten, Freude, Gesicht, lächelndes Gesicht mit lachenden Augen, rote Wangen, finden Sie in der Emoji-Kategorie:  😂 Smileys & Emotionen -  😄 lächelndes Gesicht.	"Faire ce que je peux où je suis avec ce que j'ai 😊😊
Tun, was ich kann mit was ich habe 😊"	☺️💋😘😚🤗👋🏻👋🏼🙏🏾🥕👨🏾😊☺️😛😸😀😁🤗😙🐵🙂
💕	deux cœurs - zwei Herzen	Smileys & Emotion - émotion, Smileys & Emotionen - Emotion	amour | cœurs | deux cœurs | Herz | Liebe | zwei Herzen	Ce sont deux cœurs qui sont décalés de haut en bas et qui s'affichent sous forme de coeurs rouges sur la plupart des plates-formes et de coeurs roses sur les plates-formes Apple, Samsung, Whatsapp et OpenMoji. Cela signifie généralement l’amour et la chaleur, et peut également signifier le romantisme, la rose, la bonne humeur. Les filles aiment particulièrement utiliser cet emoji. Emojis similaires: 💘 💝 💗 💓 💞 💖 La signification du symbole emoji 💕 est deux cœurs, il est lié à amour, cœurs, deux cœurs, on peut le trouver dans la catégorie emoji:  😂 Smileys & Emotion -  💋 émotion. Das sind zwei Herzen, die nach oben und unten versetzt sind und auf den meisten Plattformen als rote Herzen und auf Apple-, Samsung-, WhatsApp- und OpenMoji-Plattformen als rosa Herzen angezeigt werden. Es bedeutet im Allgemeinen Liebe und Wärme und kann auch Romantik, Rosa, Liebe und gute Laune bedeuten. Mädchen benutzen Das Emoji besonders gerne. Verwandte Emojis: 💘 💝 💗 💓 💞 💖 Die Bedeutung des Emoji-Symbols 💕 ist zwei Herzen, es ist verwandt mit Herz, Liebe, finden Sie in der Emoji-Kategorie:  😂 Smileys & Emotionen -  💋 Emotion.	"Bon mariage, mes copains. 💕💕
Alles soll gut sein, Jack soll Jill haben. 💕 Gute Nacht, mögest du einen guten Traum haben. 💕 💤"	🧚🏼‍♂️💞👑😚🤗🐾☄🤍〰️💓💕💘💝💗💓💞💖💤🦩💟
